Country,Year,Catch
United States,1932,76978.645757284
United States,1933,90708.361577266
United States,1934,119968.266670767
United States,1935,83386.7512476452
United States,1936,131447.994905769
United States,1937,119432.47240351
United States,1938,106302.653734776
United States,1939,86457.1047566868
United States,1940,89917.9863768125
United States,1941,112966.835856049
United States,1942,88258.0355587234
United States,1943,91113.1025554113
United States,1944,73837.9413408875
United States,1945,85742.6384438161
United States,1946,80980.1925948988
United States,1947,84698.4330157915
United States,1948,64089.3934771945
United States,1949,90672.3197913349
United States,1950,50566.185730698
United States,1951,61001.9908817807
United States,1952,54370.4631750292
United States,1953,48971.6889447103
United States,1954,52822.9641643275
United States,1955,50026.1657126067
United States,1956,56899.3458382121
United States,1957,43265.4780292973
United States,1958,49865.8102738839
United States,1959,32650.656
United States,1960,45602.379
United States,1961,50317.125
United States,1962,66604.979
United States,1963,58468.168
United States,1964,70075.676
United States,1965,62267.027
United States,1966,70144.77
United States,1967,31618.144
United States,1968,67471.388
United States,1969,47967.906
United States,1970,75048.401
United States,1971,58806.376
United States,1972,37766.722
United States,1973,33138.506
United States,1974,30417.592
United States,1975,34010.137
United States,1976,52925.247
United States,1977,59555.833
United States,1978,88770.581
United States,1979,99383.967
United States,1980,115742.352
United States,1981,122500.999
United States,1982,119629.999
United States,1983,132708.45
United States,1984,138123.554
United States,1985,157634.319
United States,1986,138029.832
United States,1987,107034.493
United States,1988,108455.273
United States,1989,164450.528
United States,1990,161107.739
United States,1991,198317.448
United States,1992,140052.43
United States,1993,200117.242
United States,1994,199772.34
United States,1995,223345.204
United States,1996,178204.157
United States,1997,127881.391
United States,1998,153835.774
United States,1999,218039.828
United States,2000,140015.66
United States,2001,179036.502
United States,2002,135673.876
United States,2003,183049.141
United States,2004,172023.865
United States,2005,224726.425
United States,2006,143667.784
United States,2007,215900.754
United States,2008,147954.161
United States,2009,169717.725
United States,2010,175925.038
United States,2011,184621.920718235
United States,2012,130234.161788144
United States,2013,292515.875307692
United States,2014,162056.6615
United States,2015,271980.891
United States,2016,114961.161
United States,2017,228826.135
United States,2018,118708.471
United States,2019,209778.903
United States,2020,120198.039
United States,2021,237210.016
United States,2022,166114.192
United States,2023,233998.592
Korea,1925,NA
Korea,1926,NA
Korea,1927,NA
Korea,1928,NA
Korea,1929,NA
Korea,1930,NA
Korea,1931,NA
Korea,1932,NA
Korea,1933,NA
Korea,1934,NA
Korea,1935,NA
Korea,1936,NA
Korea,1937,NA
Korea,1938,NA
Korea,1939,NA
Korea,1940,NA
Korea,1941,NA
Korea,1942,NA
Korea,1943,NA
Korea,1944,NA
Korea,1945,NA
Korea,1946,NA
Korea,1947,NA
Korea,1948,NA
Korea,1949,NA
Korea,1950,NA
Korea,1951,NA
Korea,1952,NA
Korea,1953,NA
Korea,1954,NA
Korea,1955,NA
Korea,1956,NA
Korea,1957,NA
Korea,1958,NA
Korea,1959,NA
Korea,1960,NA
Korea,1961,NA
Korea,1962,NA
Korea,1963,NA
Korea,1964,NA
Korea,1965,NA
Korea,1966,NA
Korea,1967,NA
Korea,1968,NA
Korea,1969,0.095
Korea,1970,0.41
Korea,1971,0.507
Korea,1972,0.273
Korea,1973,0.182
Korea,1974,0.44
Korea,1975,0.207
Korea,1976,0.578
Korea,1977,0.268
Korea,1978,0.321
Korea,1979,0.769
Korea,1980,0.972
Korea,1981,2.195
Korea,1982,2.855
Korea,1983,3.349
Korea,1984,4.486
Korea,1985,6.011
Korea,1986,8.883
Korea,1987,9.95
Korea,1988,14.164
Korea,1989,21.24
Korea,1990,104.113
Korea,1991,94.927
Korea,1992,102.885
Korea,1993,110.828
Korea,1994,117.868
Korea,1995,131.437
Korea,1996,197.65
Korea,1997,216.873
Korea,1998,157.711
Korea,1999,113.971
Korea,2000,16.991
Korea,2001,43.802
Korea,2002,59.932
Korea,2003,37.681
Korea,2004,28.553
Korea,2005,22.833
Korea,2006,45.482
Korea,2007,91.551
Korea,2008,83.644
Korea,2009,49.76
Korea,2010,49.325
Korea,2011,27.891
Korea,2012,35.491
Korea,2013,96.515
Korea,2014,153.473
Korea,2015,156.015
Korea,2016,85.21
Korea,2017,56.62
Korea,2018,95.993
Korea,2019,50.048
Korea,2020,54.775
Korea,2021,68.421
Korea,2022,53.19
Korea,2023,39.52
