pollster,sample_size,state,candidate_name,pct,start_date,end_date,pollscore,numeric_grade
U. Georgia SPIA,1000,Georgia,Jill Stein,0.4,10/7/24,10/16/24,-0.2,2.2
PPIC,1137,California,Kamala Harris,59,10/7/24,10/15/24,-0.4,2.5
PPIC,1137,California,Donald Trump,33,10/7/24,10/15/24,-0.4,2.5
PPIC,1137,California,Robert F. Kennedy,3,10/7/24,10/15/24,-0.4,2.5
PPIC,1137,California,Chase Oliver,0,10/7/24,10/15/24,-0.4,2.5
PPIC,1137,California,Jill Stein,1,10/7/24,10/15/24,-0.4,2.5
PPIC,1137,California,Claudia De La Cruz,1,10/7/24,10/15/24,-0.4,2.5
Washington Post/George Mason University,580,Arizona,Kamala Harris,44,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,580,Arizona,Donald Trump,50,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,580,Arizona,Kamala Harris,46,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,580,Arizona,Donald Trump,49,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,730,Georgia,Kamala Harris,50,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,730,Georgia,Donald Trump,44,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,730,Georgia,Kamala Harris,51,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,730,Georgia,Donald Trump,47,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,687,Michigan,Kamala Harris,46,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,687,Michigan,Donald Trump,47,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,687,Michigan,Kamala Harris,49,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,687,Michigan,Donald Trump,47,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,652,Nevada,Kamala Harris,47,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,652,Nevada,Donald Trump,44,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,652,Nevada,Kamala Harris,48,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,652,Nevada,Donald Trump,48,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,965,North Carolina,Kamala Harris,45,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,965,North Carolina,Donald Trump,49,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,965,North Carolina,Kamala Harris,47,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,965,North Carolina,Donald Trump,50,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,707,Pennsylvania,Kamala Harris,49,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,707,Pennsylvania,Donald Trump,46,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,707,Pennsylvania,Kamala Harris,49,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,707,Pennsylvania,Donald Trump,47,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,695,Wisconsin,Kamala Harris,50,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,695,Wisconsin,Donald Trump,46,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,695,Wisconsin,Kamala Harris,50,9/30/24,10/15/24,-0.8,2.7
Washington Post/George Mason University,695,Wisconsin,Donald Trump,47,9/30/24,10/15/24,-0.8,2.7
Mitchell,589,Michigan,Kamala Harris,47,10/14/24,10/14/24,-0.2,2.4
Mitchell,589,Michigan,Donald Trump,47,10/14/24,10/14/24,-0.2,2.4
Mitchell,589,Michigan,Jill Stein,1,10/14/24,10/14/24,-0.2,2.4
Mitchell,589,Michigan,Chase Oliver,1,10/14/24,10/14/24,-0.2,2.4
Mitchell,589,Michigan,Robert F. Kennedy,0,10/14/24,10/14/24,-0.2,2.4
Mitchell,589,Michigan,Cornel West,0,10/14/24,10/14/24,-0.2,2.4
Mitchell,589,Michigan,Kamala Harris,47.4,10/14/24,10/14/24,-0.2,2.4
Mitchell,589,Michigan,Donald Trump,48.5,10/14/24,10/14/24,-0.2,2.4
Emerson,1000,California,Kamala Harris,61,10/12/24,10/14/24,-1.1,2.9
Emerson,1000,California,Donald Trump,36.6,10/12/24,10/14/24,-1.1,2.9
Redfield & Wilton Strategies,620,North Carolina,Kamala Harris,46,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,620,North Carolina,Donald Trump,48,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,620,North Carolina,Chase Oliver,1,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,620,North Carolina,Jill Stein,0,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,1141,Arizona,Kamala Harris,46,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,1141,Arizona,Donald Trump,48,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,1141,Arizona,Chase Oliver,1,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,1141,Arizona,Jill Stein,1,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,1009,Florida,Kamala Harris,44,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,1009,Florida,Donald Trump,50,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,1009,Florida,Chase Oliver,0,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,1009,Florida,Jill Stein,1,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,637,Georgia,Kamala Harris,47,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,637,Georgia,Donald Trump,47,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,637,Georgia,Chase Oliver,1,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,637,Georgia,Jill Stein,2,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,682,Michigan,Kamala Harris,47,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,682,Michigan,Donald Trump,47,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,682,Michigan,Chase Oliver,1,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,682,Michigan,Jill Stein,0,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,544,Minnesota,Kamala Harris,51,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,544,Minnesota,Donald Trump,43,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,544,Minnesota,Chase Oliver,0,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,544,Minnesota,Jill Stein,1,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,838,Nevada,Kamala Harris,47,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,838,Nevada,Donald Trump,47,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,838,Nevada,Chase Oliver,1,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,838,Nevada,Jill Stein,0,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,382,New Mexico,Kamala Harris,49,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,382,New Mexico,Donald Trump,45,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,382,New Mexico,Chase Oliver,1,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,382,New Mexico,Jill Stein,2,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,1649,Pennsylvania,Kamala Harris,48,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,1649,Pennsylvania,Donald Trump,48,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,1649,Pennsylvania,Chase Oliver,1,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,1649,Pennsylvania,Jill Stein,0,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,641,Wisconsin,Kamala Harris,48,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,641,Wisconsin,Donald Trump,47,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,641,Wisconsin,Chase Oliver,1,10/12/24,10/14/24,0.4,1.8
Redfield & Wilton Strategies,641,Wisconsin,Jill Stein,1,10/12/24,10/14/24,0.4,1.8
Quinnipiac,1328,Georgia,Kamala Harris,45,10/10/24,10/14/24,-0.5,2.8
Quinnipiac,1328,Georgia,Donald Trump,52,10/10/24,10/14/24,-0.5,2.8
Quinnipiac,1328,Georgia,Jill Stein,1,10/10/24,10/14/24,-0.5,2.8
Quinnipiac,1328,Georgia,Chase Oliver,1,10/10/24,10/14/24,-0.5,2.8
Quinnipiac,1328,Georgia,Kamala Harris,46,10/10/24,10/14/24,-0.5,2.8
Quinnipiac,1328,Georgia,Donald Trump,52,10/10/24,10/14/24,-0.5,2.8
Quinnipiac,1031,North Carolina,Kamala Harris,49,10/10/24,10/14/24,-0.5,2.8
Quinnipiac,1031,North Carolina,Donald Trump,47,10/10/24,10/14/24,-0.5,2.8
Quinnipiac,1031,North Carolina,Jill Stein,0,10/10/24,10/14/24,-0.5,2.8
Quinnipiac,1031,North Carolina,Chase Oliver,1,10/10/24,10/14/24,-0.5,2.8
Quinnipiac,1031,North Carolina,Cornel West,0,10/10/24,10/14/24,-0.5,2.8
Quinnipiac,1031,North Carolina,Randall A. Terry,0,10/10/24,10/14/24,-0.5,2.8
Quinnipiac,1031,North Carolina,Kamala Harris,50,10/10/24,10/14/24,-0.5,2.8
Quinnipiac,1031,North Carolina,Donald Trump,47,10/10/24,10/14/24,-0.5,2.8
SurveyUSA,703,Washington,Kamala Harris,57,10/9/24,10/14/24,-1.3,2.8
SurveyUSA,703,Washington,Donald Trump,35,10/9/24,10/14/24,-1.3,2.8
East Carolina University,701,Georgia,Kamala Harris,45.8,10/9/24,10/14/24,-0.5,2.6
East Carolina University,701,Georgia,Donald Trump,48.9,10/9/24,10/14/24,-0.5,2.6
East Carolina University,701,Georgia,Chase Oliver,0.4,10/9/24,10/14/24,-0.5,2.6
East Carolina University,701,Georgia,Jill Stein,1.4,10/9/24,10/14/24,-0.5,2.6
Siena/NYT,857,Pennsylvania,Kamala Harris,50,10/7/24,10/10/24,-1.5,3
Siena/NYT,857,Pennsylvania,Donald Trump,47,10/7/24,10/10/24,-1.5,3
Siena/NYT,857,Pennsylvania,Kamala Harris,49,10/7/24,10/10/24,-1.5,3
Siena/NYT,857,Pennsylvania,Donald Trump,45,10/7/24,10/10/24,-1.5,3
Siena/NYT,857,Pennsylvania,Jill Stein,2,10/7/24,10/10/24,-1.5,3
Siena/NYT,857,Pennsylvania,Chase Oliver,1,10/7/24,10/10/24,-1.5,3
Siena/NYT,857,Pennsylvania,Kamala Harris,50,10/7/24,10/10/24,-1.5,3
Siena/NYT,857,Pennsylvania,Donald Trump,47,10/7/24,10/10/24,-1.5,3
Siena/NYT,857,Pennsylvania,Kamala Harris,49,10/7/24,10/10/24,-1.5,3
Siena/NYT,857,Pennsylvania,Donald Trump,45,10/7/24,10/10/24,-1.5,3
Siena/NYT,857,Pennsylvania,Jill Stein,1,10/7/24,10/10/24,-1.5,3
Siena/NYT,857,Pennsylvania,Chase Oliver,0,10/7/24,10/10/24,-1.5,3
Siena/NYT,808,Arizona,Kamala Harris,46,10/7/24,10/10/24,-1.5,3
Siena/NYT,808,Arizona,Donald Trump,51,10/7/24,10/10/24,-1.5,3
Siena/NYT,808,Arizona,Kamala Harris,45,10/7/24,10/10/24,-1.5,3
Siena/NYT,808,Arizona,Donald Trump,50,10/7/24,10/10/24,-1.5,3
Siena/NYT,808,Arizona,Jill Stein,1,10/7/24,10/10/24,-1.5,3
Siena/NYT,808,Arizona,Chase Oliver,0,10/7/24,10/10/24,-1.5,3
Siena/NYT,808,Arizona,Kamala Harris,45,10/7/24,10/10/24,-1.5,3
Siena/NYT,808,Arizona,Donald Trump,51,10/7/24,10/10/24,-1.5,3
Siena/NYT,808,Arizona,Kamala Harris,44,10/7/24,10/10/24,-1.5,3
Siena/NYT,808,Arizona,Donald Trump,49,10/7/24,10/10/24,-1.5,3
Siena/NYT,808,Arizona,Jill Stein,2,10/7/24,10/10/24,-1.5,3
Siena/NYT,808,Arizona,Chase Oliver,1,10/7/24,10/10/24,-1.5,3
UMass Amherst/YouGov,700,Massachusetts,Kamala Harris,56,10/3/24,10/10/24,-0.4,2.4
UMass Amherst/YouGov,700,Massachusetts,Donald Trump,30,10/3/24,10/10/24,-0.4,2.4
UMass Amherst/YouGov,700,Massachusetts,Jill Stein,2,10/3/24,10/10/24,-0.4,2.4
UMass Amherst/YouGov,700,Massachusetts,Chase Oliver,1,10/3/24,10/10/24,-0.4,2.4
UMass Amherst/YouGov,700,Massachusetts,Claudia De La Cruz,1,10/3/24,10/10/24,-0.4,2.4
UMass Amherst/YouGov,700,Massachusetts,Shiva Ayyadurai,1,10/3/24,10/10/24,-0.4,2.4
University of Massachusetts Lowell/YouGov,600,New Hampshire,Kamala Harris,50,10/2/24,10/10/24,-1,2.9
University of Massachusetts Lowell/YouGov,600,New Hampshire,Donald Trump,41,10/2/24,10/10/24,-1,2.9
University of Massachusetts Lowell/YouGov,600,New Hampshire,Jill Stein,1,10/2/24,10/10/24,-1,2.9
University of Massachusetts Lowell/YouGov,600,New Hampshire,Chase Oliver,1,10/2/24,10/10/24,-1,2.9
YouGov,1091,Texas,Kamala Harris,46,10/2/24,10/10/24,-1.1,3
YouGov,1091,Texas,Donald Trump,51,10/2/24,10/10/24,-1.1,3
YouGov,1091,Texas,Jill Stein,2,10/2/24,10/10/24,-1.1,3
YouGov,1091,Texas,Chase Oliver,1,10/2/24,10/10/24,-1.1,3
Redfield & Wilton Strategies,608,Georgia,Kamala Harris,47,10/8/24,10/9/24,0.4,1.8
Redfield & Wilton Strategies,608,Georgia,Donald Trump,48,10/8/24,10/9/24,0.4,1.8
Redfield & Wilton Strategies,608,Georgia,Chase Oliver,1,10/8/24,10/9/24,0.4,1.8
Redfield & Wilton Strategies,608,Georgia,Jill Stein,1,10/8/24,10/9/24,0.4,1.8
Redfield & Wilton Strategies,707,Pennsylvania,Kamala Harris,46,10/8/24,10/9/24,0.4,1.8
Redfield & Wilton Strategies,707,Pennsylvania,Donald Trump,48,10/8/24,10/9/24,0.4,1.8
Redfield & Wilton Strategies,707,Pennsylvania,Chase Oliver,1,10/8/24,10/9/24,0.4,1.8
Redfield & Wilton Strategies,707,Pennsylvania,Jill Stein,0,10/8/24,10/9/24,0.4,1.8
